TransactionID,CustomerID,ProductID,SaleDate,SaleAmount,Expenses,Coast,StoreID,CampaignID,
000001,001034,2059,2025-05-04,2048.20,70.00,East,402,0,
000002,001066,2048,2025-05-04,321.87,3839.00,West,403,1,East
000003,001116,2041,2025-05-04,3216.84,501.00,East,403,3,West
000004,001071,2096,2025-05-04,1613.23,4959.00,West,404,2,
000005,001020,2060,2025-05-04,408.38,1060.00,West,401,0,
000006,001089,2028,2025-05-04,1275.88,1552.00,West,401,0,
000008,001005,2079,2025-05-04,855.49,1329.00,East,402,1,
000009,001032,2060,2025-05-04,735.08,506.00,East,401,1,
000010,001119,2089,2025-05-04,661.63,4596.00,West,403,2,
000011,001042,2077,2025-05-04,505.65,4165.00,West,401,0,
000012,001079,2013,2025-05-04,0.00,3578.00,West,401,2,
000014,001183,2025,2025-05-04,503.32,443.00,West,401,1,
000015,001026,2089,2025-05-04,413.52,4419.00,West,403,0,
000016,001144,2005,2025-05-04,1715.12,410.00,East,403,3,
000017,001169,2047,2025-05-04,535.97,1446.00,East,401,2,
000019,001110,2046,2025-05-04,30.09,4377.00,East,404,1,
000020,001111,2022,2025-05-04,671.18,2371.00,East,403,3,
000021,001119,2055,2025-05-04,0.00,2897.00,East,403,2,
000022,001062,2011,2025-05-04,1229.22,4659.00,East,403,3,
000023,001062,2096,2025-05-04,672.18,4813.00,East,404,3,
000024,001086,2003,2025-05-04,924.43,3038.00,East,404,2,
000025,001046,2062,2025-05-04,1981.95,5767.00,East,402,2,
000026,001066,2043,2025-05-04,698.76,1538.00,West,403,2,
000027,001142,2001,2025-05-04,1237.05,4850.00,West,402,0,
000028,001061,2092,2025-05-04,482.21,2169.00,East,404,3,
000031,001004,2011,2025-11-15,737.53,3870.00,West,403,1,
000032,001103,2088,2025-05-04,0.00,1266.00,East,402,2,
000033,001169,2074,2025-05-04,0.00,3834.00,West,403,3,
000034,001141,2067,2025-05-04,872.85,5776.00,West,403,3,
000035,001190,2070,2025-05-04,54.69,3653.00,West,403,2,
000036,001179,2058,2025-05-04,1066.80,5062.00,West,403,2,
000037,001064,2029,2025-05-04,12.16,1199.00,West,401,1,
000038,001080,2015,2025-05-04,3037.36,4625.00,West,402,1,
000039,001055,2094,2025-05-04,1578.72,3365.00,West,404,2,
000040,001185,2075,2025-05-04,0.00,4176.00,East,403,0,
000042,001045,2038,2025-05-04,1667.72,2392.00,East,401,1,
000043,001070,2005,2025-05-04,686.05,3691.00,East,401,2,
000044,001178,2016,2025-05-04,0.00,3860.00,East,404,0,
000045,001003,2073,2025-05-04,1498.29,1268.00,East,403,3,
000046,001122,2056,2025-05-04,944.50,114.00,East,403,1,
000047,001013,2032,2025-05-04,2836.80,3983.00,West,404,0,
000048,001016,2051,2025-05-04,117.32,2533.00,West,404,0,
000049,001147,2080,2025-05-04,0.00,650.00,West,401,1,
000050,001038,2072,2025-05-04,840.60,782.00,East,403,0,
000051,001063,2015,2025-05-04,1214.95,3493.00,East,404,1,
000052,001198,2066,2025-05-04,516.06,4352.00,West,404,3,
000053,001113,2038,2025-05-04,2223.62,692.00,West,404,2,
000054,001145,2079,2025-05-04,1901.08,3840.00,East,401,0,
000055,001195,2026,2025-05-04,507.74,44.00,East,402,2,
000056,001169,2010,2025-05-04,140.11,2827.00,East,402,1,
000057,001044,2070,2025-05-04,0.00,4746.00,East,401,1,
000058,001000,2052,2025-05-04,2193.78,4908.00,West,404,3,
000059,001074,2004,2025-05-04,741.80,3719.00,East,402,2,
