ProductID,ProductName,Category,UnitPrice,Model,Branch
2000,Electronics Be,Electronics,969.31,1,New York
2001,Electronics Be,Clothing,412.35,3,Los Angeles
2002,Office Family,Clothing,866.00,2,New York
2003,Electronics Training,Clothing,385.18,1,Los Angeles
2004,Office Where,Home,927.25,2,New York
2005,Office Huge,Home,428.78,3,Los Angeles
2006,Office Class,Clothing,198.00,2,New York
2007,Clothing Over,Electronics,583.39,1,New York
2008,Electronics Skin,Home,66.59,2,Los Angeles
2009,Office Raise,Clothing,66.31,3,New York
2010,Electronics Themselves,Clothing,77.84,2,Los Angeles
2011,Electronics Religious,Clothing,409.74,3,New York
2012,Clothing Artist,Electronics,623.19,1,Los Angeles
2013,Office Cultural,Home,935.36,2,New York
2014,Clothing Eat,Home,246.30,1,Los Angeles
2015,Office Itself,Clothing,674.97,2,New York
2016,Home He,Office,323.02,1,New York
2017,Electronics Feeling,Electronics,463.70,2,Los Angeles
2018,Electronics Nature,Electronics,542.26,1,New York
2019,Home History,Clothing,933.93,2,Los Angeles
2020,Electronics Share,Clothing,375.83,3,Los Angeles
2021,Clothing Skill,Office,835.41,2,Los Angeles
2022,Home Economy,Electronics,671.18,3,New York
2023,Home Yeah,Electronics,939.54,1,Los Angeles
2024,Clothing Paper,Home,124.27,2,New York
2025,Electronics Assume,Clothing,279.62,1,Los Angeles
2026,Clothing Use,Home,211.56,3,New York
2027,Home Purpose,Office,258.61,3,Los Angeles
2028,Electronics Take,Electronics,637.94,2,New York
2029,Home Yourself,Electronics,13.51,1,New York
2030,Clothing First,Home,169.97,2,Los Angeles
2031,Office Develop,Office,565.30,3,Los Angeles
2032,Electronics There,Electronics,945.60,2,Los Angeles
2033,Clothing Argue,Electronics,836.25,1,New York
2034,Clothing Feel,Office,136.17,3,New York
2035,Home According,Home,899.99,2,New York
2036,Electronics Candidate,Home,217.98,3,Los Angeles
2037,Clothing Meeting,Electronics,360.14,1,New York
2038,Office Soon,Clothing,926.51,2,Los Angeles
2039,Clothing Need,Clothing,976.44,3,New York
2040,Clothing Determine,Office,34.54,2,Los Angeles
2041,Home Assume,Office,804.21,1,New York
2042,Clothing Lawyer,Home,167.61,2,Los Angeles
2043,Electronics Practice,Office,873.45,3,New York
2044,Office Society,Clothing,207.58,2,Los Angeles
2045,Office Next,Home,312.14,1,New York
2046,Clothing Worry,Clothing,33.43,2,Los Angeles
2047,Clothing Hair,Office,334.98,3,New York
2048,Electronics Candidate,Home,357.63,2,Los Angeles
2049,Office Easy,Home,939.84,1,New York
2050,Electronics Young,Home,186.78,2,Los Angeles
2051,Home Century,Electronics,117.32,3,New York
2052,Office Year,Home,731.26,2,Los Angeles
2053,Home Ground,Office,610.15,1,New York
2054,Electronics Above,Office,900.51,2,Los Angeles
2055,Clothing Politics,Home,53.94,3,New York
2056,Office About,Electronics,524.72,2,Los Angeles
2057,Clothing Identify,Home,436.98,2,New York
2058,Home Wear,Home,666.75,3,Los Angeles
2059,Electronics Clear,Home,512.05,1,New York
2060,Office Term,Home,408.38,2,New York
2061,Home Quite,Clothing,199.92,1,New York
2062,Office Receive,Clothing,619.36,2,Los Angeles
2063,Home Good,Office,552.46,3,New York
2064,Electronics Stop,Home,294.04,2,Los Angeles
2065,Office Animal,Home,470.34,1,New York
2066,Office Occur,Clothing,516.06,2,Los Angeles
2067,Clothing Remain,Electronics,290.95,3,Los Angeles
2068,Home Read,Electronics,820.24,2,New York
2069,Clothing Garden,Home,232.39,1,Los Angeles
2070,Clothing About,Clothing,34.18,2,New York
2071,Clothing Success,Office,615.16,3,New York
2072,Electronics Become,Office,420.30,2,Los Angeles
2073,Clothing Executive,Office,499.43,1,Los Angeles
2074,Clothing Strong,Clothing,659.50,2,Los Angeles
2075,Electronics Letter,Electronics,780.64,3,New York
2076,Clothing Affect,Clothing,806.07,2,Los Angeles
2077,Office Ball,Electronics,561.83,1,Los Angeles
2078,Electronics Film,Office,142.01,2,New York
2079,Office Who,Home,950.54,3,Los Angeles
2080,Office Doctor,Office,832.26,2,New York
2081,Office Light,Clothing,746.22,1,Los Angeles
2082,Office Figure,Office,266.60,2,New York
2083,Clothing Cut,Home,768.16,3,Los Angeles
2084,Office Stuff,Clothing,281.85,2,Los Angeles
2085,Electronics Officer,Home,242.15,3,New York
2086,Home Of,Home,894.10,1,New York
2087,Electronics Rather,Clothing,159.32,2,Ll
2088,Office Evening,Clothing,709.35,3,New York
2089,Electronics Action,Office,413.52,2,Los Angeles
2090,Office Staff,Office,71.64,1,Los Angeles
2091,Office Mrs,Office,905.79,2,New York
2092,Electronics Add,Office,482.21,3,Los Angeles
2093,Home Real,Home,755.94,2,New York
2094,Office Fight,Clothing,493.35,1,Los Angeles
2095,Home Seem,Office,490.79,2,New York
2096,Office Discuss,Home,672.18,3,Los Angeles
2097,Office Recent,Clothing,842.10,2,New York
2098,Clothing Trouble,Electronics,907.86,1,New York
2099,Electronics Several,Electronics,646.32,2,Los Angeles
